report_date,default
1988-01-01,0.0
1988-01-04,-0.0009
1988-01-05,-0.002102
1988-01-06,0.015647
1988-01-07,0.007703
1988-01-08,-0.028224
1988-01-11,-0.000504
1988-01-12,-0.000706
1988-01-13,-0.003231
1988-01-14,0.00547
1988-01-15,-0.006246
1988-01-18,0.010645
1988-01-19,-0.004715
1988-01-20,-0.007156
1988-01-21,-0.00132
1988-01-22,0.008335
1988-01-25,0.019758
1988-01-26,-0.000593
1988-01-27,-0.004253
1988-01-28,0.012417
1988-01-29,0.004023
1988-02-01,-0.008013
1988-02-02,0.001478
1988-02-03,-0.004918
1988-02-04,-0.000692
1988-02-05,-0.003264
1988-02-08,-0.003474
1988-02-09,-0.000398
1988-02-10,0.013151
1988-02-11,0.002262
1988-02-12,-0.00314
1988-02-15,0.009154
1988-02-16,0.00751
1988-02-17,0.003969
1988-02-18,0.004725
1988-02-19,0.00643
1988-02-22,0.012587
1988-02-23,0.002919
1988-02-24,0.001784
1988-02-25,0.002812
1988-02-26,0.001028
1988-02-29,0.009057
1988-03-01,0.004257
1988-03-02,0.00387
1988-03-03,-0.000918
1988-03-04,0.000551
1988-03-07,0.005142
1988-03-08,0.001188
1988-03-09,0.004106
1988-03-10,-0.004816
1988-03-11,-0.001004
1988-03-14,0.000274
1988-03-15,0.001919
1988-03-16,0.007022
1988-03-17,0.004619
1988-03-18,0.003786
1988-03-21,0.001706
1988-03-22,-0.003855
1988-03-23,0.00387
1988-03-24,-0.008248
1988-03-25,-0.01139
1988-03-28,-0.000366
1988-03-29,0.010245
1988-03-30,0.002716
1988-03-31,0.004334
1988-04-01,0.0
1988-04-04,-0.004496
1988-04-05,-0.00298
1988-04-06,0.011958
1988-04-07,0.004118
1988-04-08,0.006775
1988-04-11,0.00186
1988-04-12,0.002652
1988-04-13,0.00238
1988-04-14,-0.00299
1988-04-15,-0.007145
1988-04-18,-0.006308
1988-04-19,-0.001162
1988-04-20,0.000179
1988-04-21,-0.003222
1988-04-22,0.000359
1988-04-25,0.008257
1988-04-26,0.00365
1988-04-27,-0.003548
1988-04-28,0.003738
1988-04-29,-0.002838
1988-05-02,0.001956
1988-05-03,0.003373
1988-05-04,-0.004511
1988-05-05,-0.000622
1988-05-06,-0.006224
1988-05-09,-0.006352
1988-05-10,0.002521
1988-05-11,-0.011137
1988-05-12,-0.000727
1988-05-13,0.006908
1988-05-16,0.005777
1988-05-17,-0.006372
