date,justification,ai_recommendation,final_weights
2017-07-31,"The portfolio is constructed based on the highest breakout_quality_score and eric_adx_weighted_momentum values, which indicate strong momentum and trend quality, with CQQQ.P, INDA.B, and MCHI.O showing the most promising signals for short-term gains.","{'CQQQ.P': 0.4, 'INDA.B': 0.35, 'MCHI.O': 0.25}","{'CQQQ.P': 0.4, 'INDA.B': 0.35, 'MCHI.O': 0.25}"
2017-08-31,"The portfolio is concentrated on CQQQ.P and MCHI.O due to their superior breakout_quality_score, smart_momentum_adx_r2, and eric_adx_weighted_momentum values, which indicate strong momentum and trend quality for potential short-term gains. Higher weights are assigned to these ETFs based on their stronger factor signals compared to others in the pool.","{'CQQQ.P': 0.6, 'MCHI.O': 0.4}","{'CQQQ.P': 0.6, 'MCHI.O': 0.4}"
2017-09-29,"The portfolio is constructed based on the highest breakout_quality_score and smart_momentum_adx_r2 values, which indicate strong momentum and trend stability, with VEGI.P showing exceptional breakout quality and SCZ.O offering solid momentum and stability, while EWJ.P and EWG.P provide additional diversification with high breakout scores.","{'VEGI.P': 0.4, 'SCZ.O': 0.25, 'EWJ.P': 0.15, 'EWG.P': 0.1, 'EWU.P': 0.1}","{'VEGI.P': 0.4, 'SCZ.O': 0.25, 'EWJ.P': 0.15, 'EWG.P': 0.1, 'EWU.P': 0.1}"
2017-10-31,"The portfolio is constructed based on strong momentum and breakout quality signals, with EWJ.P showing the highest breakout_quality_score and smart_momentum_adx_r2, EWT.P and EWY.P exhibiting robust momentum and breakout scores, and CQQQ.P and ICLN.O selected for their high momentum and breakout quality to diversify and capture growth opportunities.","{'EWJ.P': 0.35, 'EWT.P': 0.25, 'EWY.P': 0.2, 'CQQQ.P': 0.1, 'ICLN.O': 0.1}","{'EWJ.P': 0.35, 'EWT.P': 0.25, 'EWY.P': 0.2, 'CQQQ.P': 0.1, 'ICLN.O': 0.1}"
2017-11-30,"I selected ETFs with the highest combined momentum and breakout quality scores, focusing on CQQQ.P for its strong momentum (0.480) and breakout quality (8.450), EWH.P for its high breakout quality (7.590) and positive momentum (0.180), EWJ.P for its solid breakout quality (6.791) and momentum (0.170), EWY.P for its good momentum (0.230) and breakout quality (3.510), and SCZ.O for its balanced momentum (0.189) and breakout quality (3.765). Weights are assigned based on the strength of these signals to maximize potential returns.","{'CQQQ.P': 0.3, 'EWH.P': 0.25, 'EWJ.P': 0.2, 'EWY.P': 0.15, 'SCZ.O': 0.1}","{'CQQQ.P': 0.3, 'EWH.P': 0.25, 'EWJ.P': 0.2, 'EWY.P': 0.15, 'SCZ.O': 0.1}"
2017-12-29,"The portfolio is constructed based on strong momentum and breakout quality signals, with VEGI.P and SCZ.O showing the highest smart_momentum_adx_r2 values (0.045 and 0.055), indicating robust trend stability, and EWA.P and EWU.P contributing solid momentum and breakout scores for diversified upside potential.","{'VEGI.P': 0.3, 'SCZ.O': 0.3, 'EWA.P': 0.2, 'EWU.P': 0.2}","{'VEGI.P': 0.3, 'SCZ.O': 0.3, 'EWA.P': 0.2, 'EWU.P': 0.2}"
2018-01-31,"The portfolio is constructed by selecting ETFs with the highest combined scores in momentum, breakout_quality_score, and smart_momentum_adx_r2, which are key indicators for short-term upside potential. MCHI.O and CQQQ.P show strong momentum and breakout signals, while ACWI.O and IEMG.P offer balanced exposure with high smart momentum, and EWZ.P contributes with solid momentum and positive skew.","{'MCHI.O': 0.25, 'CQQQ.P': 0.25, 'ACWI.O': 0.2, 'IEMG.P': 0.2, 'EWZ.P': 0.1}","{'MCHI.O': 0.25, 'CQQQ.P': 0.25, 'ACWI.O': 0.2, 'IEMG.P': 0.2, 'EWZ.P': 0.1}"
2018-02-28,基于因子分析，EWZ.P在momentum（0.400）和eric_tail_skew（0.048）上表现突出，显示出强劲的上涨潜力和正偏度信号；EWJ.P的smart_momentum_adx_r2（0.081）最高，表明动量与趋势稳定性结合良好；ACWI.O的smart_momentum_adx_r2（0.071）也较高，提供多元化收益。因此，集中投资于这三支ETF以最大化短期回报。,"{'EWZ.P': 0.5, 'EWJ.P': 0.3, 'ACWI.O': 0.2}","{'EWZ.P': 0.5, 'EWJ.P': 0.3, 'ACWI.O': 0.2}"
2018-03-29,"The portfolio is concentrated on KSA.P due to its exceptionally high breakout_quality_score of 8.243, which significantly outperforms all other ETFs, indicating strong momentum and market participation. Other factors like momentum and smart_momentum_adx_r2 are also favorable, supporting its potential for short-term gains, while other ETFs show weaker or negative signals across key factors.",{'KSA.P': 1.0},{'KSA.P': 1.0}
2018-04-30,"The portfolio is constructed by selecting ETFs with the highest combined scores in momentum, breakout_quality_score, and smart_momentum_adx_r2, which are key indicators for short-term upside potential. EWQ.P and ICLN.O show strong breakout and momentum signals, while EWU.P and VGK.P exhibit solid trend strength and stability, with KSA.P retained for its positive momentum and low tail risk.","{'EWQ.P': 0.3, 'ICLN.O': 0.25, 'EWU.P': 0.2, 'VGK.P': 0.15, 'KSA.P': 0.1}","{'EWQ.P': 0.3, 'ICLN.O': 0.25, 'EWU.P': 0.2, 'VGK.P': 0.15, 'KSA.P': 0.1}"
